ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15LMBV472,FBA STA (01/04/2026 12:20)-SMAB,IN_TRANSIT,SMAB,"Greater Noida, Uttar Pradesh",FBA76415,X001MZYX7L,8,0,0
FBA15LMBV472,FBA STA (01/04/2026 12:20)-SMAB,IN_TRANSIT,SMAB,"Greater Noida, Uttar Pradesh",FBA76418,X001N01O8V,6,0,0
FBA15LPZXLLR,FBA STA (23/04/2026 12:46)-LMAA,READY_TO_SHIP,LMAA,"Greater Noida, Uttar Pradesh",FBA76415,X001MZYX7L,8,0,0
FBA15LPZXLLR,FBA STA (23/04/2026 12:46)-LMAA,READY_TO_SHIP,LMAA,"Greater Noida, Uttar Pradesh",FBA76418,X001N01O8V,6,0,0
FBA15LXBTYN6,FBA STA (12/06/2026 12:58)-SBOB,IN_TRANSIT,SBOB,"Bhiwandi, Maharashtra",FBA79179,X001Y62M1H,5,0,0
FBA15LXBTYN6,FBA STA (12/06/2026 12:58)-SBOB,IN_TRANSIT,SBOB,"Bhiwandi, Maharashtra",FBA79662,X00270AW07,10,0,0
FBA15LX6YH1Y,FBA STA (12/06/2026 13:01)-BLX1,RECEIVING,BLX1,"Bhiwandi, Maharashtra",FBA79179,X001Y62M1H,4,4,0
FBA15LXBH0ZH,FBA STA (12/06/2026 13:04)-SDEG,RECEIVING,SDEG,"Bhiwandi, Maharashtra",FBA79179,X001Y62M1H,4,4,0
FBA15LXWBMGZ,FBA STA (17/06/2026 12:08)-SBOB,IN_TRANSIT,SBOB,"Greater Noida, Uttar Pradesh",FBA76415,X001MZYX7L,15,0,0
FBA15LXWBMGZ,FBA STA (17/06/2026 12:08)-SBOB,IN_TRANSIT,SBOB,"Greater Noida, Uttar Pradesh",FBA76416,X001N02VPV,9,0,0
FBA15LXWBMGZ,FBA STA (17/06/2026 12:08)-SBOB,IN_TRANSIT,SBOB,"Greater Noida, Uttar Pradesh",FBA76418,X001N01O8V,3,0,0
FBA15LXDLHD3,FBA STA (17/06/2026 12:09)-SDEG,RECEIVING,SDEG,"Greater Noida, Uttar Pradesh",FBA76415,X001MZYX7L,10,10,0
FBA15LXDLHD3,FBA STA (17/06/2026 12:09)-SDEG,RECEIVING,SDEG,"Greater Noida, Uttar Pradesh",FBA76416,X001N02VPV,9,9,0
FBA15LXDLHD3,FBA STA (17/06/2026 12:09)-SDEG,RECEIVING,SDEG,"Greater Noida, Uttar Pradesh",FBA76418,X001N01O8V,3,3,0
FBA15LXWDYMR,FBA STA (17/06/2026 12:11)-BLX1,RECEIVING,BLX1,"Greater Noida, Uttar Pradesh",FBA76415,X001MZYX7L,15,15,0
FBA15LXWDYMR,FBA STA (17/06/2026 12:11)-BLX1,RECEIVING,BLX1,"Greater Noida, Uttar Pradesh",FBA76416,X001N02VPV,9,9,0
FBA15LXWDYMR,FBA STA (17/06/2026 12:11)-BLX1,RECEIVING,BLX1,"Greater Noida, Uttar Pradesh",FBA76418,X001N01O8V,3,3,0
FBA15LYW1N47,FBA STA (24/06/2026 13:43)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, Maharashtra",FBA79167,X001Y5UYX1,60,0,0
FBA15LYV080H,FBA STA (29/06/2026 10:44)-BLX1,RECEIVING,BLX1,"Bhiwandi, Maharashtra",FBA79178,X001Y62O1P,4,4,0
FBA15LZ70W8J,FBA STA (29/06/2026 10:48)-SBOB,IN_TRANSIT,SBOB,"Bhiwandi, Maharashtra",FBA79178,X001Y62O1P,4,0,0
FBA15LZDNR6K,FBA STA (29/06/2026 10:51)-SDEG,RECEIVING,SDEG,"Bhiwandi, Maharashtra",FBA79178,X001Y62O1P,4,4,0
FBA15LZ3FQQX,FBA STA (29/06/2026 10:53)-SHTI,RECEIVING,SHTI,"Bhiwandi, Maharashtra",FBA79178,X001Y62O1P,4,3,0
FBA15LZDSLN4,FBA STA (29/06/2026 11:28)-DEL4,RECEIVING,DEL4,"Bhiwandi, Maharashtra",FBA79167,X001Y5UYX1,60,60,0
FBA15LZYWX7W,FBA STA (02/07/2026 07:41)-DEL4,RECEIVING,DEL4,"Bhiwandi, Maharashtra",FBA79167,X001Y5UYX1,50,50,0
